DISPLAY origin=(0,0) px=1512x982 physical_mm=301.2x195.6
place device flat on desk, press EnterOpening /dev/cu.usbmodem101 at 921600 baud
GYRO BIAS dps=[7.46709, 3.9045, 0.25038] std_dps=[0.50967, 0.43893, 0.49747]
CALIBRATION position_mm=[41.1, 61.9, -495.3] quaternion_wxyz=[0.68519, -0.12651, 0.03027, -0.71665]
Opening /dev/cu.usbmodem101 at 921600 baud
TRACK MOVING  rate=  1 Hz  drift=  +0.00 deg/min  peak=    7.2/2048 dps  cursor=no intersection  ray_az/el=+102.5/-3.4deg hit_mm=none
TRACK MOVING  rate=111 Hz  drift=  +0.00 deg/min  peak=   16.6/2048 dps  cursor=no intersection  ray_az/el=+101.2/-3.1deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   18.8/2048 dps  cursor=no intersection  ray_az/el=+100.9/-3.3deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   19.2/2048 dps  cursor=no intersection  ray_az/el=+100.8/-3.3deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   19.2/2048 dps  cursor=no intersection  ray_az/el=+100.7/-3.2deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   19.9/2048 dps  cursor=no intersection  ray_az/el=+101.0/-2.8deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   19.9/2048 dps  cursor=no intersection  ray_az/el=+101.7/-2.4deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   19.9/2048 dps  cursor=no intersection  ray_az/el=+102.5/-2.8deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   19.9/2048 dps  cursor=no intersection  ray_az/el=+102.1/-2.1deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   20.3/2048 dps  cursor=no intersection  ray_az/el=+102.0/-1.8deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   20.3/2048 dps  cursor=no intersection  ray_az/el=+102.4/-1.6deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   20.3/2048 dps  cursor=no intersection  ray_az/el=+102.8/-1.2deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   20.3/2048 dps  cursor=no intersection  ray_az/el=+103.4/-1.3deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   21.4/2048 dps  cursor=no intersection  ray_az/el=+103.4/-0.7deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   21.4/2048 dps  cursor=no intersection  ray_az/el=+103.8/-0.3deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   21.4/2048 dps  cursor=no intersection  ray_az/el=+103.9/+0.1deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   21.4/2048 dps  cursor=no intersection  ray_az/el=+104.2/+0.4deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   29.0/2048 dps  cursor=no intersection  ray_az/el=+104.8/+0.2deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   29.0/2048 dps  cursor=no intersection  ray_az/el=+104.9/+0.7deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   29.0/2048 dps  cursor=no intersection  ray_az/el=+105.2/+1.1deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   29.0/2048 dps  cursor=no intersection  ray_az/el=+105.4/+2.0deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   28.9/2048 dps  cursor=no intersection  ray_az/el=+105.3/+2.0deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   28.9/2048 dps  cursor=no intersection  ray_az/el=+105.9/+4.1deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   31.8/2048 dps  cursor=no intersection  ray_az/el=+106.4/+4.5deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   36.1/2048 dps  cursor=no intersection  ray_az/el=+106.9/+4.6deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   50.4/2048 dps  cursor=no intersection  ray_az/el=+106.7/+6.8deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   50.4/2048 dps  cursor=no intersection  ray_az/el=+106.2/+7.7deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   50.4/2048 dps  cursor=no intersection  ray_az/el=+106.1/+8.6deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   50.4/2048 dps  cursor=no intersection  ray_az/el=+106.3/+8.9deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   37.4/2048 dps  cursor=no intersection  ray_az/el=+106.8/+9.3deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   37.4/2048 dps  cursor=no intersection  ray_az/el=+107.4/+8.7deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   49.8/2048 dps  cursor=no intersection  ray_az/el=+108.4/+8.6deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   81.1/2048 dps  cursor=no intersection  ray_az/el=+114.1/+8.7deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=  250.6/2048 dps  cursor=no intersection  ray_az/el=+119.2/+7.6deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak= 1225.6/2048 dps  cursor=1082,980  ray_az/el=+2.8/-40.3deg hit_mm=+65.1,-420.6
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak= 1225.6/2048 dps  cursor=no intersection  ray_az/el=+149.5/-17.1deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak= 1225.6/2048 dps  cursor=no intersection  ray_az/el=+150.9/-14.7deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak= 1225.6/2048 dps  cursor=no intersection  ray_az/el=+138.5/-19.4deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak= 1202.6/2048 dps  cursor=no intersection  ray_az/el=+148.9/-13.9deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=  738.6/2048 dps  cursor=no intersection  ray_az/el=+145.2/-11.7deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=  738.6/2048 dps  cursor=no intersection  ray_az/el=+141.9/-9.3deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=  689.1/2048 dps  cursor=no intersection  ray_az/el=+143.3/-8.8deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   59.2/2048 dps  cursor=no intersection  ray_az/el=+144.7/-8.9deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   38.7/2048 dps  cursor=no intersection  ray_az/el=+151.1/-12.3deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   38.7/2048 dps  cursor=no intersection  ray_az/el=+155.4/-9.1deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   38.7/2048 dps  cursor=no intersection  ray_az/el=+162.2/-10.5deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   27.8/2048 dps  cursor=no intersection  ray_az/el=+166.5/-10.2deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   40.6/2048 dps  cursor=no intersection  ray_az/el=+174.7/-5.9deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   73.4/2048 dps  cursor=no intersection  ray_az/el=+177.4/-5.5deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   73.4/2048 dps  cursor=no intersection  ray_az/el=-176.1/+0.0deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   73.4/2048 dps  cursor=no intersection  ray_az/el=-172.5/-1.0deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   73.4/2048 dps  cursor=no intersection  ray_az/el=-171.7/-0.8deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   43.2/2048 dps  cursor=no intersection  ray_az/el=-170.5/-0.5deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   32.3/2048 dps  cursor=no intersection  ray_az/el=-169.2/-1.2deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   24.7/2048 dps  cursor=no intersection  ray_az/el=-169.6/-1.2deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   19.5/2048 dps  cursor=no intersection  ray_az/el=-168.8/-1.8deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   19.5/2048 dps  cursor=no intersection  ray_az/el=-167.9/-1.4deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   17.4/2048 dps  cursor=no intersection  ray_az/el=-167.4/-1.4deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   16.9/2048 dps  cursor=no intersection  ray_az/el=-167.5/-1.3deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   16.9/2048 dps  cursor=no intersection  ray_az/el=-167.0/-0.9deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   16.9/2048 dps  cursor=no intersection  ray_az/el=-166.0/-1.1deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   15.6/2048 dps  cursor=no intersection  ray_az/el=-164.9/-2.5deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   14.0/2048 dps  cursor=no intersection  ray_az/el=-162.6/-5.5deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   15.6/2048 dps  cursor=no intersection  ray_az/el=-161.1/-4.7deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   30.9/2048 dps  cursor=no intersection  ray_az/el=-161.4/-7.9deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   30.9/2048 dps  cursor=no intersection  ray_az/el=-164.0/-7.2deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   30.9/2048 dps  cursor=no intersection  ray_az/el=-160.4/-5.9deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   30.9/2048 dps  cursor=no intersection  ray_az/el=-159.1/-4.8deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   27.4/2048 dps  cursor=no intersection  ray_az/el=-158.8/-4.8deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   19.1/2048 dps  cursor=no intersection  ray_az/el=-158.6/-3.2deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   19.1/2048 dps  cursor=no intersection  ray_az/el=-158.9/-2.0deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   15.0/2048 dps  cursor=no intersection  ray_az/el=-159.2/+0.7deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   14.1/2048 dps  cursor=no intersection  ray_az/el=-159.4/+2.1deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   14.8/2048 dps  cursor=no intersection  ray_az/el=-161.1/+2.7deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   14.8/2048 dps  cursor=no intersection  ray_az/el=-161.7/+2.0deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   14.8/2048 dps  cursor=no intersection  ray_az/el=-162.4/+3.7deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   14.8/2048 dps  cursor=no intersection  ray_az/el=-160.4/+3.5deg hit_mm=none
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   13.4/2048 dps  cursor=no intersection  ray_az/el=-160.8/+3.6deg hit_mm=none
# !!! RECENTERED !!! recenters=1
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   13.4/2048 dps  cursor=970,339  ray_az/el=+0.3/+3.6deg hit_mm=+43.6,+31.0
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   14.3/2048 dps  cursor=928,318  ray_az/el=-1.1/+4.2deg hit_mm=+31.9,+36.0
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   34.8/2048 dps  cursor=939,281  ray_az/el=-0.2/+5.0deg hit_mm=+39.3,+43.3
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   44.3/2048 dps  cursor=851,628  ray_az/el=-3.4/-3.8deg hit_mm=+11.7,-32.8
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   50.6/2048 dps  cursor=786,487  ray_az/el=-3.4/+0.4deg hit_mm=+11.3,+3.8
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   50.6/2048 dps  cursor=875,622  ray_az/el=-1.7/-3.7deg hit_mm=+26.3,-32.0
TRACK MOVING  rate=219 Hz  drift=  +0.00 deg/min  peak=   50.6/2048 dps  cursor=991,559  ray_az/el=+1.3/-0.8deg hit_mm=+52.0,-7.1
